Entity ID,Entity Name
1,Richard Barthelmess
2,Emil Jannings
3,Louise Dresser
4,Janet Gaynor
5,Gloria Swanson
6,Rochus Gliese
7,William Cameron Menzies
8,Harry Oliver
9,George Barnes
10,Charles Rosher
11,Karl Struss
12,Lewis Milestone
13,Ted Wilde
14,Frank Borzage
15,Herbert Brenon
16,King Vidor
17,Ralph Hammeras
18,Roy Pomeroy
19,Nugent Slaughter
20,The Caddo Company
21,Fox
22,Paramount Famous Lasky
23,Metro-Goldwyn-Mayer
24,Alfred Cohn
25,Anthony Coldeway
26,Benjamin Glazer
27,Lajos Biro
28,Ben Hecht
29,Gerald Duffy
30,Joseph Farnham
31,"George Marion, Jr."
32,"To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
33,"To Charles Chaplin, for acting, writing, directing and producing The Circus ."
34,George Bancroft
35,Warner Baxter
36,Chester Morris
37,Paul Muni
38,Lewis Stone
39,Ruth Chatterton
40,Betty Compson
41,Jeanne Eagels
42,Corinne Griffith
43,Bessie Love
44,Mary Pickford
45,Hans Dreier
46,Cedric Gibbons
47,Mitchell Leisen
48,Clyde De Vinna
49,Arthur Edeson
50,Ernest Palmer
51,John Seitz
52,Lionel Barrymore
53,Harry Beaumont
54,Irving Cummings
55,Frank Lloyd
56,Ernst Lubitsch
57,Feature Productions
58,Tom Barry
59,Elliott Clawson
60,Hans Kraly
61,Josephine Lovett
62,Bess Meredyth
63,George Arliss
64,Wallace Beery
65,Maurice Chevalier
66,Ronald Colman
67,Lawrence Tibbett
68,Nancy Carroll
69,Greta Garbo
70,Norma Shearer
71,Bulldog Drummond
72,King of Jazz
73,The Love Parade
74,Sally
75,The Vagabond King
76,All Quiet on the Western Front
77,Anna Christie
78,Hell's Angels
79,With Byrd at the South Pole
80,Clarence Brown
81,Robert Leonard
82,The Big House
83,Disraeli
84,The Divorcee
85,The Case of Sergeant Grischa
86,Raffles
87,Song of the Flame
88,Street of Chance
89,Jackie Cooper
90,Richard Dix
91,Fredric March
92,Adolphe Menjou
93,Marlene Dietrich
94,Marie Dressler
95,Irene Dunne
96,Ann Harding
97,Cimarron
98,Just Imagine
99,Morocco
100,Svengali
101,Whoopee!
102,The Right to Love
103,Tabu
104,A Free Soul
105,The Front Page
106,Skippy
107,East Lynne
108,Trader Horn
109,Samuel Goldwyn - United Artists Studio Sound Department
110,Metro-Goldwyn-Mayer Studio Sound Department
111,Paramount Publix Studio Sound Department
112,RKO Radio Studio Sound Department
113,The Criminal Code
114,Holiday
115,Little Caesar
116,The Dawn Patrol
117,The Doorway to Hell
118,Laughter
119,The Public Enemy
120,Smart Money
121,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
122,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film.
123,To FOX FILM CORP. for effective use of synchro-projection composite photography.
124,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
125,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
126,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
127,Alfred Lunt
128,Lynn Fontanne
129,Helen Hayes
130,À Nous la Liberté
131,Arrowsmith
132,Transatlantic
133,Dr. Jekyll and Mr. Hyde
134,Shanghai Express
135,Bad Girl
136,The Champ
137,Five Star Final
138,Grand Hotel
139,One Hour with You
140,The Smiling Lieutenant
141,Flowers and Trees
142,It's Got Me Again
143,Mickey's Orphans
144,The Loud Mouth
145,The Music Box
146,Scratch-As-Catch-Can
147,Stout Hearts and Willing Hands
148,Screen Souvenirs
149,Swing High
150,Wrestling Swordfish
151,Warner Bros.-First National Studio Sound Department
152,Lady and Gent
153,The Star Witness
154,What Price Hollywood?
155,"To Walt Disney for the creation of ""Mickey Mouse."""
156,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.
157,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.
158,Leslie Howard
159,Charles Laughton
160,Katharine Hepburn
161,May Robson
162,Diana Wynyard
163,Cavalcade
164,A Farewell to Arms
165,When Ladies Meet
166,Percy Ikerd (Fox)
167,William Tummel (Fox)
168,Charles Dorian (Metro-Goldwyn-Mayer)
169,Bunny Dull (Metro-Goldwyn-Mayer)
170,John S. Waters (Metro-Goldwyn-Mayer)
171,Charles Barton (Paramount)
172,Sidney S. Brod (Paramount)
173,Arthur Jacobson (Paramount)
174,Eddie Killey (RKO Radio)
175,Dewey Starkey (RKO Radio)
176,Fred Fox (United Artists)
177,Benjamin Silvey (United Artists)
178,Scott Beal (Universal)
179,Joe McDonough (Universal)
180,W. J. Reiter (Universal)
181,Al Alborn (Warner Bros.)
182,Gordon Hollingshead (Warner Bros.)
183,Frank X. Shaw (Warner Bros.)
184,Reunion in Vienna
185,The Sign of the Cross
186,Lady for a Day
187,Little Women
188,42nd Street
189,I Am a Fugitive from a Chain Gang
190,The Private Life of Henry VIII
191,She Done Him Wrong
192,Smilin' Through
193,State Fair
194,Building a Building
195,The Merry Old Soul
196,The Three Little Pigs
197,Mister Mugg
198,A Preferred List
199,So This Is Harris
200,Krakatoa
201,Menu
202,The Sea
203,Gold Diggers of 1933
204,One Way Passage
205,The Prizefighter and the Lady
206,Rasputin and the Empress
207,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
208,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
209,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
210,Clark Gable
211,Frank Morgan
212,William Powell
213,Claudette Colbert
214,Bette Davis
215,Grace Moore
216,The Affairs of Cellini
217,The Gay Divorcee
218,The Merry Widow
219,Cleopatra
220,Imitation of Life
221,Viva Villa!
222,Operator 13
223,It Happened One Night
224,One Night of Love
225,The Thin Man
226,Eskimo
227,The Lost Patrol
228,Flying Down to Rio
229,She Loves Me Not
230,The Barretts of Wimpole Street
231,Flirtation Walk
232,Here Comes the Navy
233,The House of Rothschild
234,The White Parade
235,Holiday Land
236,Jolly Little Elves
237,The Tortoise and the Hare
238,La Cucaracha
239,Men in Black
240,"What, No Men!"
241,Bosom Friends
242,City of Wax
243,Strikes and Spares
244,Hide-Out
245,Manhattan Melodrama
246,The Richest Girl in the World
247,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
248,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
249,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
250,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
251,Victor McLaglen
252,Franchot Tone
253,Elisabeth Bergner
254,Miriam Hopkins
255,Merle Oberon
256,The Dark Angel
257,The Lives of a Bengal Lancer
258,Top Hat
259,David Copperfield
260,Les Miserables
261,A Midsummer Night's Dream
262,Barbary Coast
263,The Crusades
264,Busby Berkeley
265,Bobby Connolly
266,Dave Gould
267,Sammy Lee
268,Hermes Pan
269,LeRoy Prinz
270,Benjamin Zemach
271,Captain Blood
272,The Informer
273,Mutiny on the Bounty
274,Peter Ibbetson
275,Roberta
276,Gold Diggers of 1935
277,Alice Adams
278,Broadway Melody of 1936
279,Naughty Marietta
280,Ruggles of Red Gap
281,The Calico Dragon
282,Three Orphan Kittens
283,Who Killed Cock Robin?
284,How to Sleep
285,"Oh, My Nerves"
286,Tit for Tat
287,Audioscopiks
288,Camera Thrills
289,Wings over Mt. Everest
290,Bride of Frankenstein
291,I Dream Too Much
292,Love Me Forever
293,"$1,000 a Minute"
294,Thanks a Million
295,G-Men
296,The Gay Deception
297,The Scoundrel
298,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
299,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
300,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
301,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
